no,baris,word,wordTotal,n,tf,idf,tf_idf
593,856,covid,328,1,0.00304878,5.883322388,0.017936959
594,858,ramadhan,44,1,0.022727273,5.883322388,0.133711872
595,859,dan,393,1,0.002544529,5.883322388,0.014970286
596,860,hari,19,1,0.052631579,5.883322388,0.309648547
597,861,raya,13,1,0.076923077,5.883322388,0.452563261
598,862,polr,136,1,0.007352941,5.883322388,0.043259723
599,864,bhabinkamtibma,31,1,0.032258065,5.883322388,0.189784593
600,865,desa,37,1,0.027027027,5.883322388,0.159008713
601,871,bersama,83,1,0.012048193,5.883322388,0.070883402
602,873,desa,37,1,0.027027027,5.883322388,0.159008713
603,874,melaksanakan,78,1,0.012820513,5.883322388,0.07542721
604,875,pengamanan,18,1,0.055555556,5.883322388,0.326851244
605,876,kegiatan,77,1,0.012987013,5.883322388,0.076406784
606,877,giat,23,1,0.043478261,5.883322388,0.255796626
607,878,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
608,881,dan,393,1,0.002544529,5.883322388,0.014970286
609,882,iii,15,1,0.066666667,5.883322388,0.392221493
610,884,di,380,1,0.002631579,5.883322388,0.015482427
611,885,wilayah,11,1,0.090909091,5.883322388,0.53484749
612,886,desa,37,1,0.027027027,5.883322388,0.159008713
613,888,polsek,75,1,0.013333333,5.883322388,0.078444299
614,890,bersama,83,1,0.012048193,5.883322388,0.070883402
615,892,gelar,25,1,0.04,5.883322388,0.235332896
616,893,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
617,894,booster,719,1,0.001390821,5.883322388,0.008182646
618,897,warga,102,1,0.009803922,5.883322388,0.057679631
619,899,ikut,33,1,0.03030303,5.883322388,0.178282497
620,900,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
621,903,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
622,904,yang,176,1,0.005681818,5.883322388,0.033427968
623,906,binda,12,1,0.083333333,5.883322388,0.490276866
624,910,masyarakat,125,1,0.008,5.883322388,0.047066579
625,911,babinsa,54,1,0.018518519,5.883322388,0.108950415
626,912,koramil,47,1,0.021276596,5.883322388,0.125177072
627,914,bersama,83,1,0.012048193,5.883322388,0.070883402
628,915,bhabinkamtibma,31,1,0.032258065,5.883322388,0.189784593
629,916,dampingi,25,1,0.04,5.883322388,0.235332896
630,918,kesehatan,94,1,0.010638298,5.883322388,0.062588536
631,919,melaksanakan,78,1,0.012820513,5.883322388,0.07542721
632,920,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
633,921,di,380,1,0.002631579,5.883322388,0.015482427
634,923,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
635,924,serentak,71,1,0.014084507,5.883322388,0.082863696
636,925,seluruh,39,1,0.025641026,5.883322388,0.15085442
637,926,indonesia,140,1,0.007142857,5.883322388,0.042023731
638,929,oleh,11,1,0.090909091,5.883322388,0.53484749
639,932,polri,43,1,0.023255814,5.883322388,0.136821451
640,933,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
641,934,serentak,71,1,0.014084507,5.883322388,0.082863696
642,937,penyebaran,11,1,0.090909091,5.883322388,0.53484749
643,938,virus,22,1,0.045454545,5.883322388,0.267423745
644,939,covid,328,1,0.00304878,5.883322388,0.017936959
645,941,ramadhan,44,1,0.022727273,5.883322388,0.133711872
646,942,dan,393,1,0.002544529,5.883322388,0.014970286
647,943,hari,19,1,0.052631579,5.883322388,0.309648547
648,944,raya,13,1,0.076923077,5.883322388,0.452563261
649,945,polr,136,1,0.007352941,5.883322388,0.043259723
650,949,pt,13,1,0.076923077,5.883322388,0.452563261
651,952,ikuti,19,1,0.052631579,5.883322388,0.309648547
652,953,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
653,954,booster,719,1,0.001390821,5.883322388,0.008182646
654,958,berikut,97,1,0.010309278,5.883322388,0.060652808
655,959,ini,94,1,0.010638298,5.883322388,0.062588536
656,962,amp,49,1,0.020408163,5.883322388,0.120067804
657,966,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
658,967,bersama,83,1,0.012048193,5.883322388,0.070883402
659,968,babinsa,54,1,0.018518519,5.883322388,0.108950415
660,969,koramil,47,1,0.021276596,5.883322388,0.125177072
661,971,dampingi,25,1,0.04,5.883322388,0.235332896
662,973,kesehatan,94,1,0.010638298,5.883322388,0.062588536
663,974,melaksanakan,78,1,0.012820513,5.883322388,0.07542721
